src,tgt
(860*307)+(545*709)=,650425
(465-364)+(475+634)=,1210
716+(204+251)-454=,717
(767-164)*634+808=,383110
926+738=,1664
830+783=,1613
383-(191-380)+442=,1014
(324+911)*787=,971945
(232-823)=,-591
142+(109-723)-794=,-1266
261+(923*260)=,240241
683+(904*226)+203=,205190
(430+292)=,722
972*333=,323676
584+271=,855
465*428=,199020
(561-222)*752=,254928
(290+701)=,991
(251+753)*148=,148592
715*448*840*160=,43051008000
442-(550-305)=,197
(750+533)+672*710=,478403
254+230=,484
(663+294)+404*325=,132257
(172+677)-(148*422)=,-61607
(182*338)*(480-558)=,-4798248
(629+345)=,974
(310-383)=,-73
621*706*791=,346794966
(262*376)=,98512
(402-906)=,-504
(519+303)+(167-421)=,568
(110*331)=,36410
126+944+(195*105)=,21545
586-(559-712)=,739
(926+960)=,1886
(996*714)=,711144
271+(853*628)=,535955
(509*669)=,340521
162*348=,56376
(123*500)-368*502=,-123236
900-(826*425)=,-350150
(191-900)=,-709
(132+481)-699+298=,212
(558*283)*481=,75956634
(799*607)*266-969=,129007169
497-(593+103)*537=,-373255
206-504*975+392=,-490802
(921+750)+247=,1918
508*(339-857)+324=,-262820
355-(209-736)=,882
(306*107)*612=,20038104
(630+486)=,1116
(501-382)*759=,90321
(987*948)*(535*883)=,442018020780
506-883-(639-281)=,-735
(789+954)+(623-539)=,1827
242*752-(451*355)=,21879
752*175=,131600
(750+878)=,1628
122*884=,107848
(711*644)-813=,457071
919+(254*246)=,63403
811-571=,240
(825*652)-327+427=,538000
(661*844)=,557884
401+591-134=,858
(576+794)=,1370
981+224-(699+765)=,-259
(694+446)=,1140
378+474=,852
(303*226)=,68478
(806-682)*405=,50220
(818-224)=,594
(190-995)=,-805
940*265=,249100
461*(263-339)=,-35036
156*175=,27300
646*(691-458)=,150518
511-(250-721)=,982
(620+751)+(157*914)=,144869
480+(480-145)*686=,230290
(773-677)+355=,451
145*328+125-507=,47178
341+724=,1065
(711-392)=,319
(239*482)+454=,115652
960+410-161-487=,722
903*832+272=,751568
(817-188)=,629
(503+144)=,647
(774+657)-(269*563)=,-150016
(781*718)*309-162=,173274060
500-(115+415)=,-30
392-700=,-308
222-(851*566)-964=,-482408
575*388=,223100
925-602-107=,216
(351+752)-275+755=,1583
(617*633)-378=,390183
(121-949)+375+664=,211
(763-136)+526=,1153
(374+933)-867=,440
(568-871)+860=,557
(290-998)+873=,165
985-(675*498)=,-335165
622+372=,994
(266+325)=,591
610+767=,1377
506*147=,74382
(182-113)+(828*612)=,506805
750-201-540=,9
218+972=,1190
506*860*(832-577)=,110965800
672*(238+516)=,506688
107+975*(908+927)=,1789232
(510*542)=,276420
818+997-259-702=,854
(287+427)=,714
176-(340+502)-644=,-1310
(593-365)+714=,942
(514+505)*488-450=,496822
107+746+327*868=,284689
(116-321)*521=,-106805
(548-457)*989=,89999
794+783*(869-587)=,221600
332+166*201=,33698
(290*237)+393*513=,270339
691-(203*744)*188=,-28393325
328+(970-375)-799=,124
(827*405)=,334935
(895+454)*(417+661)=,1454222
659+(653+373)=,1685
(314+937)=,1251
(878*512)-420=,449116
216*865=,186840
327-122*(537-462)=,-8823
561*(808+772)*127=,112570260
(868*688)+977-697=,597464
310+410+418=,1138
391*(586+222)-443=,315485
308*704=,216832
(156-452)*703=,-208088
(492-237)=,255
(711*824)+(233-560)=,585537
(677+145)=,822
(332-445)=,-113
364*315=,114660
110*(773*752)*719=,45974700640
(326+172)+887=,1385
(107+450)=,557
717+764=,1481
(610*639)+790=,390580
307*(833+522)=,415985
976-(318-913)*341=,203871
906-(661*347)=,-228461
209+(531-943)=,-203
701-(957-841)*974=,-112283
(433+316)*671=,502579
(188+863)=,1051
(563*672)=,378336
(935-222)*208=,148304
202+628+(940+537)=,2307
(989*704)=,696256
605+882=,1487
643+310-482=,471
347*288=,99936
863-631=,232
818-(486-600)-619=,313
227-471-890=,-1134
422+(339+156)+283=,1200
556+162=,718
761-(777+768)-694=,-1478
(204+435)=,639
(416*215)+(868-464)=,89844
(943+427)+436=,1806
(241-753)-308-989=,-1809
453+(808-345)+361=,1277
157*276+482=,43814
(413-699)+905-493=,126
(613+309)+778=,1700
374+355-346=,383
253*939=,237567
967+447-(335+143)=,936
149+218=,367
908*565+206=,513226
732-(496-655)=,891
(842-931)*(939+710)=,-146761
(526*442)*311=,72305012
860-355*(396-960)=,201080
(888+937)-659=,1166
(924+839)*341*158=,94986914
(867+219)-(147+115)=,824
197-463-832=,-1098
266+(226+806)=,1298
(582-904)=,-322
(279*180)=,50220
967*(812-470)*594=,196444116
591-(379*546)-247=,-206590
907*423*821=,314985681
791-(922-847)=,716
(304-139)*(671-596)=,12375
345-(289*171)=,-49074
(308-782)=,-474
(367*793)*121=,35214751
440-(381+141)*791=,-412462
(562-964)-849=,-1251
(988-778)-338*901=,-304328
547+951-867=,631
877+979=,1856
(489*959)=,468951
(126-496)-(131+103)=,-604
(122+190)*621=,193752
726+(104*580)+599=,61645
457+(276+505)+435=,1673
795-803+720+207=,919
(328+761)+905*160=,145889
(568-301)+(466+466)=,1199
(107+565)=,672
(236-876)*280*655=,-117376000
(807+683)+476-801=,1165
(887+263)*408*578=,271197600
(762*111)=,84582
611+397=,1008
(137-725)-325=,-913
(937+896)=,1833
(944-157)=,787
(732-870)*986=,-136068
(349+845)=,1194
394-(325*836)*878=,-238552206
203*636+(913*111)=,230451
937+403=,1340
503*(949+617)=,787698
(260*103)-615=,26165
931+246+192=,1369
197-839-118=,-760
(863-709)=,154
899-939=,-40
272*595=,161840
(654*683)+(662*453)=,746568
212-983=,-771
(154*690)=,106260
676+212-416=,472
(730+893)=,1623
(645-684)+963+347=,1271
(505-767)-415=,-677
152-176=,-24
723-452=,271
557*474=,264018
(149*672)*100=,10012800
(168*779)=,130872
171+438=,609
(759+173)+575*970=,558682
413*365-247=,150498
167*(905*529)*760=,60762315400
(391+290)*792=,539352
963*692+650=,667046
(458+109)=,567
(369-305)-701=,-637
(405*742)*850=,255433500
(896+455)=,1351
(276*980)*536-997=,144976283
673*(766+991)+337=,1182798
363+(206*852)-172=,175703
(631+420)+130=,1181
(108*559)+228=,60600
(578*932)=,538696
950*125=,118750
446-581=,-135
(278*378)=,105084
(157-596)+494=,55
(739-559)=,180
(139*490)=,68110
219+241+379+475=,1314
706+438-(187*128)=,-22792
(923-969)=,-46
931*(336*461)=,144208176
(171*934)*(187+661)=,135437472
(784*437)=,342608
278*(564*314)=,49232688
(633+437)+770-555=,1285
(521+750)*278*356=,125788328
(204*347)=,70788
(619+407)-758=,268
(169*106)=,17914
(815+341)=,1156
(208-717)=,-509
(194+301)=,495
(825+808)*524=,855692
(598*252)=,150696
511-302*172*937=,-48671017
(901+925)-(355*924)=,-326194
(844+805)*(441-260)=,298469
394-583+(325+484)=,620
(106+384)*821=,402290
(426*252)-918=,106434
696+590+800-243=,1843
(413+189)+369-467=,504
845-(275+159)=,411
351-(503*399)=,-200346
710-946-689*213=,-146993
730+676=,1406
119*(133*453)=,7169631
868+(924+384)*869=,1137520
906+(122-208)-274=,546
(427*199)=,84973
(164-779)=,-615
723+528=,1251
908*372+727=,338503
138-(800*261)+218=,-208444
(368*247)=,90896
436-(307-408)*825=,83761
(535*567)=,303345
(845*346)+812=,293182
(338-421)=,-83
(871-354)+926=,1443
304-(654*413)+189=,-269609
804+(456*941)=,429900
948-300=,648
(125-117)=,8
(512+998)*(794*738)=,884817720
109+931=,1040
(631*203)=,128093
(857+385)-145=,1097
492+930=,1422
(335*203)+950=,68955
232*384-794=,88294
297-844=,-547
(116-162)-(910-788)=,-168
(649*941)+816-406=,611119
205-144*(272-860)=,84877
288*(820*525)+580=,123984580
(518+784)-592=,710
462-376=,86
890+167=,1057
(997+315)+525=,1837
939+726-780=,885
801*221=,177021
(801*787)*281=,177138747
(338-113)+351+144=,720
(603+672)*740+401=,943901
(434+213)-712-677=,-742
666+(916+679)=,2261
718+(480-640)+439=,997
839+633=,1472
251+626=,877
(718*316)=,226888
(132*491)=,64812
(330*516)+(383*251)=,266413
(581*716)+578=,416574
908*(592*380)+936=,204264616
473-(961-501)=,13
405+985=,1390
(601-905)*(868*787)=,-207667264
109+647=,756
(260*613)+(371-482)=,159269
(585*273)*328=,52383240
224+450-(355-468)=,787
(102*806)+159=,82371
(124-997)-832-465=,-2170
131+(110+117)=,358
(784+156)=,940
454*(326-186)=,63560
725+608+920=,2253
481+323*(901+735)=,528909
776*295=,228920
507*749+745+690=,381178
(922+876)+(831*378)=,315916
(614-673)-(978-312)=,-725
(156+495)=,651
(506-225)*(435+197)=,177592
394*714+456=,281772
263-(858+373)-951=,-1919
(878+484)=,1362
(914+248)=,1162
(890-567)-326=,-3
548+744*350=,260948
117*539=,63063
841+901+999+447=,3188
931*(595+740)=,1242885
(964+809)=,1773
848+201*331=,67379
(641*563)-629+915=,361169
513-(531*835)+985=,-441887
826*158-(145+493)=,129870
803*567=,455301
(568+549)*140+705=,157085
251*669+(647-649)=,167917
(242*640)*277=,42901760
(776*502)-307=,389245
(590*512)+408-562=,301926
747*300=,224100
572*(869+179)=,599456
907*409=,370963
(364-431)-668=,-735
925*(253+797)+289=,971539
867*405=,351135
(942*340)+741-109=,320912
(239*159)*699*205=,5445353295
240-(179*745)=,-133115
(907*332)*679=,204463196
(596*195)-296=,115924
939+164*891=,147063
(665+941)-270=,1336
379-265-465=,-351
578-853*(395-167)=,-193906
888-926+750=,712
226-831=,-605
593*680*894=,360496560
(101*334)=,33734
323*(609*358)-500=,70420606
(456-696)=,-240
417-(992-166)+715=,306
978+916*606=,556074
491+721-302=,910
(774+531)+927-616=,1616
(220*880)=,193600
578+423+(566*754)=,427765
(201+478)+405+848=,1932
(502*794)=,398588
(740-436)-502=,-198
444*168=,74592
930*765+126=,711576
(190+587)+877=,1654
(887*501)-(229-319)=,444477
(226-771)=,-545
288+753-(302*660)=,-198279
780*591*649=,299176020
(308-107)+690-695=,196
111*735=,81585
(320-514)=,-194
(584+713)-434*255=,-109373
430*951*953=,389710290
(622+192)+(313-471)=,656
728*(340+606)-309=,688379
(436+453)+(619*450)=,279439
(814+957)-(506*125)=,-61479
(652-326)-(265*720)=,-190474
(648-536)+203=,315
(718*413)=,296534
(974*248)=,241552
879-(372+138)-460=,-91
374-(899-475)=,-50
922*(610-461)+409=,137787
(812+672)+641*956=,614280
518*345-900=,177810
466*615-995=,285595
(158*531)=,83898
973+(447*681)+422=,305802
160*(998-993)=,800
483*251=,121233
997-(940-274)*277=,-183485
(905+643)-950=,598
(216-815)*665=,-398335
(766+624)=,1390
(969+407)*(616-429)=,257312
163*(268+529)-525=,129386
536*841+682=,451458
135-(141*317)=,-44562
483*639+(722*290)=,518017
979-(412+574)=,-7
877-498*297+333=,-146696
929*(659*488)=,298758968
300*637+656=,191756
331+274-(885+595)=,-875
(593+259)*467=,397884
592*132-(786+362)=,76996
341*(395+192)+219=,200386
775-125=,650
(814+858)*253=,423016
612+(555*667)=,370797
770*(133+391)*774=,312293520
889+208-313=,784
303*786+(629*298)=,425600
270*(345+324)=,180630
346+316-524=,138
(453*797)+345=,361386
(598+949)*325=,502775
565+465-478=,552
558-(804-752)*743=,-38078
(855-687)-760+877=,285
(173-377)=,-204
(753+608)=,1361
(605+324)-500=,429
(819+464)=,1283
(877-284)*152=,90136
731+(858-965)=,624
(724+466)=,1190
(387*681)-652=,262895
228+723+671=,1622
(431+259)-577=,113
269+(636*492)=,313181
(455-419)*654=,23544
384-(218+771)=,-605
(291*336)-582=,97194
689+(766*479)*551=,202170303
947-(431+148)=,368
(182*599)*(267+749)=,110762288
(514*102)-210+898=,53116
(225+313)+(194-287)=,445
902*837=,754974
(561-565)-224=,-228
152-794=,-642
137-459+102=,-220
666+(875+816)*220=,372686
(228-183)*956=,43020
(704+413)=,1117
944-748*212=,-157632
456*(504*836)+353=,192133217
(501-645)-(480*709)=,-340464
(833-301)*(372*399)=,78963696
(785-270)-291+830=,1054
786+568=,1354
(483-104)-(704*706)=,-496645
(787-177)+674-255=,1029
(797-946)=,-149
(703*593)=,416879
561*739-(595-924)=,414908
(303+792)=,1095
171+715*312=,223251
335-(692*828)-659=,-573300
(243+253)-935=,-439
258+902=,1160
246*(200+246)=,109716
(345+456)*901=,721701
(742*458)-(273-387)=,339950
842*758=,638236
697*637=,443989
(428+265)=,693
213-423=,-210
(313*864)*(596*870)=,140224400640
(432+609)+(126+111)=,1278
(851-329)-(805+354)=,-637
891*(386*899)-971=,309188503
689-(315+613)=,-239
(826-853)+780=,753
621+391-(277+765)=,-30
(804+850)-341*901=,-305587
469+803=,1272
(537*135)=,72495
(444*520)-813=,230067
(281*236)*691=,45824356
355*306=,108630
346-438-937=,-1029
(615-440)=,175
550*996=,547800
677+925+208=,1810
592+428+969=,1989
(515-260)+901=,1156
828-(552+289)*367=,-307819
(147*621)+288*649=,278199
387-533*(378-446)=,36631
371-288=,83
598*536=,320528
147-524+320+487=,430
(316*188)+151-916=,58643
(222-533)-829=,-1140
(853*339)=,289167
783-105=,678
(966*530)-368=,511612
417*277=,115509
986*(706-373)-494=,327844
397-(670+403)=,-676
(266-759)-801=,-1294
(463-707)-(353-593)=,-4
336-359=,-23
778+297+(916-640)=,1351
747-(675+497)=,-425
188+687-805=,70
(346*435)=,150510
190+978=,1168
(489-542)+335=,282
369-670=,-301
(538*995)=,535310
(929*891)*(287*748)=,177695697564
975-766=,209
(541+960)=,1501
(199*196)=,39004
(623+108)=,731
(344+234)=,578
472+(717+409)=,1598
(115+707)*(596-913)=,-260574
191+615=,806
494+865-170*464=,-77521
(780+690)=,1470
(816-889)=,-73
956-390*892=,-346924
(791-477)*193=,60602
897*698+668=,626774
337-(774-462)*115=,-35543
(883*976)-671=,861137
383-424-792*599=,-474449
(382*600)*128=,29337600
(937*996)-526-338=,932388
483-(981-306)+671=,479
(211*814)=,171754
522+(563*598)=,337196
495-354=,141
566*142+741=,81113
(902-108)=,794
(805+792)-300-596=,701
982+(187-165)-736=,268
207*677=,140139
(893+401)+234=,1528
(451-781)=,-330
(366-677)*748=,-232628
(178-912)=,-734
233-(882+773)=,-1422
732*949-732=,693936
(782*777)*663=,402848082
972-(814-687)+491=,1336
326-(114*415)=,-46984
481*230-359=,110271
(493-820)*(134-665)=,173637
501+476=,977
965-(274-482)*361=,76053
(911+891)-454=,1348
898-925=,-27
(371+952)+383*768=,295467
(433-605)-453=,-625
(855+756)=,1611
481*435-824=,208411
(976-617)+616-266=,709
783-761=,22
937*907=,849859
576+198=,774
411*139-461=,56668
(347*780)*672=,181883520
400-978=,-578
276*978=,269928
989+673*253*131=,22306228
970+(821*127)-744=,104493
(388+732)-984=,136
612-494+241=,359
633+(446-556)=,523
(938*796)+(471*319)=,896897
853+209*814=,170979
(250*123)=,30750
(429-738)=,-309
865+(497-805)=,557
(267*711)+762=,190599
(254+881)=,1135
992-356-328=,308
(660+332)+834*681=,568946
(824-489)*919=,307865
687-(846*896)+466=,-756863
839-768=,71
103+697-274=,526
(860+418)=,1278
(431-146)+323=,608
(438-359)+(685+691)=,1455
(464*478)+817=,222609
(810+527)=,1337
(116*462)*(762-915)=,-8199576
(741-412)+432-930=,-169
398-837=,-439
(374*287)+900=,108238
765+(602-344)=,1023
(342-456)=,-114
991-(687*134)=,-91067
(998*602)+(657*249)=,764389
538*(739*131)=,52083242
851-277+388*660=,256654
(518-595)*643=,-49511
(575-896)-737+667=,-391
(633*456)+130=,288778
(911-828)=,83
150+937-598=,489
(623*281)+958=,176021
245-839+(473+315)=,194
(676-998)+271=,-51
(711*580)-164-192=,412024
854*335*317*941=,85339788730
(880*255)-(315+164)=,223921
118+827*740=,612098
(862+123)+187=,1172
491-471=,20
642*119=,76398
(370*272)=,100640
(121*132)=,15972
238+399*(462-578)=,-46046
(115-821)*818-415=,-577923
(630-872)-532=,-774
(996+427)=,1423
(720+640)-(966*671)=,-646826
880-(129*320)=,-40400
448-138=,310
935-143*(928*768)=,-101915737
(817*443)-723-535=,360673
(226-544)=,-318
261-631*(847+619)=,-924785
(399+165)=,564
826*802*(664+809)=,975791796
(849-933)=,-84
113*246=,27798
(610+163)=,773
952+(949-279)+757=,2379
675-792=,-117
(340+123)-254=,209
(734-708)-(293-124)=,-143
(298*739)-282=,219940
835*689=,575315
(148+173)+963=,1284
(719*618)=,444342
(958*100)-186+567=,96181
825*(359*722)+351=,213838701
(235*972)*421=,96164820
953+(370-903)=,420
(343+269)*104=,63648
(729+970)-715=,984
(167-999)+675-646=,-803
495+(151*668)-814=,100549
(593+122)+576-603=,688
882+858=,1740
802+580-785*621=,-486103
986-154*792=,-120982
632-334+766=,1064
(290-679)*(211+465)=,-262964
(530-706)-(304-957)=,477
(303+786)*(294+594)=,967032
(738+379)=,1117
(223+308)=,531
706*816*155+403=,89295283
(785*464)+(747+474)=,365461
716*512+333=,366925
555+619-(971-364)=,567
(535+551)-852=,234
623*(986-688)=,185654
(774*240)+191*565=,293675
(497+837)*338=,450892
418-(643*831)=,-533915
(650*370)*670-877=,161134123
(357*138)*299=,14730534
(183+100)=,283
